County, FIPS,Value_Index
"Little River County, Arkansas",5081,0.4048
"Logan County, Arkansas",5083,0.5083
"Lonoke County, Arkansas",5085,0.3046
"Madison County, Arkansas",5087,0.5146
"Marion County, Arkansas",5089,0.444
"Miller County, Arkansas",5091,0.8972
"Mississippi County, Arkansas",5093,0.9227
"Monroe County, Arkansas",5095,0.8962
"Montgomery County, Arkansas",5097,0.5745
"Nevada County, Arkansas",5099,0.7441
"Newton County, Arkansas",5101,0.2078
"Ouachita County, Arkansas",5103,0.8654
"Perry County, Arkansas",5105,0.3857
"Phillips County, Arkansas",5107,0.9017
"Pike County, Arkansas",5109,0.5551
"Poinsett County, Arkansas",5111,0.739
"Polk County, Arkansas",5113,0.8501
"Pope County, Arkansas",5115,0.7607
"Prairie County, Arkansas",5117,0.4672
"Pulaski County, Arkansas",5119,0.7635
"Randolph County, Arkansas",5121,0.6531
"St. Francis County, Arkansas",5123,0.9835
"Saline County, Arkansas",5125,0.2947
"Scott County, Arkansas",5127,0.8533
"Searcy County, Arkansas",5129,0.3262
"Sebastian County, Arkansas",5131,0.8511
"Sevier County, Arkansas",5133,0.782
"Sharp County, Arkansas",5135,0.5831
"Stone County, Arkansas",5137,0.6951
"Union County, Arkansas",5139,0.7011
"Van Buren County, Arkansas",5141,0.7588
"Washington County, Arkansas",5143,0.7852
"White County, Arkansas",5145,0.81
"Woodruff County, Arkansas",5147,0.7444
"Yell County, Arkansas",5149,0.7346
"Alameda County, California",6001,0.515
"Alpine County, California",6003,0.5041
"Amador County, California",6005,0.5942
"Butte County, California",6007,0.8294
"Calaveras County, California",6009,0.324
"Colusa County, California",6011,0.7642
"Contra Costa County, California",6013,0.4736
"Del Norte County, California",6015,0.9462
"El Dorado County, California",6017,0.2266
"Fresno County, California",6019,0.9609
"Glenn County, California",6021,0.8854
"Humboldt County, California",6023,0.8278
"Imperial County, California",6025,0.9946
"Inyo County, California",6027,0.5293
"Kern County, California",6029,0.9694
"Kings County, California",6031,0.9459
"Lake County, California",6033,0.895
"Lassen County, California",6035,0.6353
"Los Angeles County, California",6037,0.8584
"Madera County, California",6039,0.9348
"Marin County, California",6041,0.3316
"Mariposa County, California",6043,0.83
"Mendocino County, California",6045,0.9561
"Merced County, California",6047,0.9698
